Borough,Latitude,Longitude
City,51.5074,-0.1278
Greenwich,51.4934,0.0098
Hackney,51.5734,-0.0724
Hammersmith,51.4912,-0.2237
Islington,51.5465,-0.1058
Kensington and Chelsea,51.4991,-0.1938
Lambeth,51.4571,-0.1231
Lewisham,51.4415,-0.0117
Southwark,51.4834,-0.0821
Tower Hamlets,51.5203,-0.0293
Wandsworth,51.4571,-0.1818
Westminster,51.4975,-0.1357
